author;updated_at;like_count;text;video_id;public;label
@lisrijkschroeff8675;2025-02-26T14:00:46Z;0;Ngapain diutak atik kalau tidak ada sesuatunya ?;bzJIZc170pE;True;0.0
@triyuwanto3406;2025-02-26T12:34:38Z;0;Anjir. Gabisa di audit dong.. astaga.. oke gas oke gas;bzJIZc170pE;True;0.0
@tama4962;2025-02-26T08:43:02Z;0;"lol abis diundang prabowo narasi jadi ""pr"" pemerintah";bzJIZc170pE;True;0.0
@petirhokage2631;2025-02-26T08:07:43Z;0;Makin ngaco ini program;bzJIZc170pE;True;0.0
@ebysaputra;2025-02-26T07:50:37Z;0;Kuy lah berpindah ke bank lain seperti bca , ini membuktikan lemahnya kepercayaan masyarakat terhadap pemerintah termasuk saya kasus korup jaman dulu aja belum beres bikin perkara lagi;bzJIZc170pE;True;0.0
@biangrusuhh3578;2025-02-26T07:43:04Z;0;"Bagus 💪🏻💪🏻💪🏻 sumber cuan negara non sumber daya alam,  mancing duit pake duit, yg pesimis silahkan, yg nyinyir monggo, yg punya penyakit hati lanjutkan sampai terserang stroke 😂😂😂 ,  
Gass terus mr presiden";bzJIZc170pE;True;1.0
@BungaMawar-w4u;2025-02-26T06:59:39Z;0;Gak tau,, kita sebagai penonton,, tinggal tunggu dan liat aja;bzJIZc170pE;True;2.0
@hasrultanjung17;2025-02-26T05:21:08Z;3;Ingat ASABRI TASPEN JIWASRAYA DAN CENTURY...dan INSTANSI BUMN LAIN yg bebas dari korupsi..kemarin aja pertamina...JANGAN SAMPAI NYESEL GA NARIK UANG..!! Jerih payah kita hak kita mau banyak mau sedikit itu Uang kita.;bzJIZc170pE;True;0.0
@gnkkris7884;2025-02-26T02:28:34Z;0;bro apa yang saya fikirkan tentang ini kira2 sama gak dengan yang anda fikirkan ?...😅;bzJIZc170pE;True;0.0
@thomaru;2025-02-26T01:38:15Z;0;kalau yg mengepalai aja mantan narapidana korupsi, berharap apa sih?;bzJIZc170pE;True;0.0
@lambegena-ev3zd;2025-02-26T01:27:15Z;1;"MENOLAK LUPA UNTUK MASA DEPAN DANANTARA 

Berikut adalah urutan beberapa kegagalan pemerintah Indonesia dalam pengelolaan investasi: 

1. Kasus Jiwasraya (2018) 

PT Asuransi Jiwasraya (Persero), perusahaan asuransi milik negara, mengalami kerugian akibat salah kelola investasi. Total kerugian negara mencapai Rp16,8 triliun.
Penyebabnya: Investasi dilakukan pada saham berkinerja buruk/gorengan dan berisiko tinggi dan Manipulasi laporan keuangan untuk menutupi kerugian.


2. Kasus Asabri (2020) 

PT Asabri (Persero), perusahaan asuransi sosial untuk TNI/Polri, mengalami kerugian akibat investasi serupa Jiwasraya. Kerugian negara diperkirakan mencapai Rp22,7 triliun.
Penyebab: Investasi pada saham gorengan dan reksa dana berkinerja buruk dan Korupsi yang melibatkan direksi dan pihak ketiga.


3. Kasus BLBI (1998) 

Pemerintah memberikan Bantuan Likuiditas Bank Indonesia (BLBI) sebesar Rp147,7 triliun kepada bank-bank yang terkena dampak krisis moneter. Namun, sebagian besar dana tersebut disalahgunakan.
Penyebab: Minimnya pengawasan atas penggunaan dana dan Banyak penerima dana tidak memenuhi kewajibannya. Berdampak pada Kerugian besar bagi keuangan negara dan Kasus ini masih menyisakan persoalan hukum. 

Apakah anda percaya dengan DANANTARA yang dipimpin oleh ROSAN ROESLANI 

Rosan Roeslani, yang saat ini menjabat sebagai Kepala Badan Pengelola Investasi Daya Anagata Nusantara (Danantara), memiliki beberapa catatan terkait kasus hukum di masa lalu. Berikut beberapa di antaranya:
1.Dugaan Penggelapan dan Tindak Pidana Pencucian Uang (TPPU) pada 2015: Rosan dilaporkan oleh Lunardi Wijaya atas tuduhan penggelapan dana dan TPPU terkait pembelian saham PT Bank Eksekutif International Tbk. Kasus ini diselidiki oleh Direktorat Tindak Pidana Ekonomi Khusus Bareskrim Polri.  
2.Kasus Pengalihan Dana di BUMI Plc pada 2014: Rosan diduga terlibat dalam pengalihan dana sebesar USD 173 juta di BUMI Plc, yang menjadi subjek putusan Pengadilan Arbitrase Singapura.  
3.Penutupan Asuransi Recapital oleh OJK pada 2020: Otoritas Jasa Keuangan (OJK) mencabut izin usaha Asuransi Recapital, perusahaan yang dimiliki oleh Rosan, karena masalah solvabilitas.  
4.Penetapan PT Recapital Asset Management sebagai Tersangka Korporasi dalam Kasus Asabri pada 2021: Perusahaan ini, yang juga dimiliki oleh Rosan, ditetapkan sebagai salah satu dari 10 tersangka korporasi oleh Kejaksaan Agung dalam kasus dugaan korupsi Asabri.  

Ini adalah masa yang berat bagi BUMN jika saja dengan DANANTARA ini akan berujung pada penyelahgunaan melihat rekam jejak para petingginya, lemahnya sistem hukum terlebih untuk koruptor dan lembaga ini tidak dapat diaudit KPK maupun BPK tanpa seijin DPR";bzJIZc170pE;True;0.0
@JejakMuslimin;2025-02-26T00:17:06Z;0;"Tergantung orang yg ngelola nya
Kalo org yg ngelola nya rakus, korupsi bisa terjadi";bzJIZc170pE;True;0.0
@jack86;2025-02-26T00:06:08Z;1;"like jika menurutmu akan seperti temasek

comment jika menurutmu akan seperti 1MDB";bzJIZc170pE;True;2.0
@ahmadsidiqjogja3445;2025-02-25T23:29:56Z;0;Penjajahan. Akal2an bulus  buat nambah kesengsaraan rakyat;bzJIZc170pE;True;0.0
@motega33;2025-02-25T22:45:14Z;0;"Sudah pasti para investor baik dalam negeri maupun luar negeri akan berpikir 1.000 x terkait dengan sistem pelaksanaannya yang banyak celah untuk disalahgunakan ditambah lagi sosok kandidat pemimpin terkorup versi OCCRP terlibat di danantara, sosok yang belakangan ini penuh kontroversial terkait dengan abuse power dan intervensi terkait PILPRES 2024, PILKADA 2024 dan  lembaga aparatur sipil dan penegak hukum negara terkait PILPRES 2024, dan juga dugaan kuat melakukan abuse power terkait bansos dan menggunakan proyek"" PSN di seluruh Indonesia sebagai excuse dari pelanggaran hukum yang terjadi selama ini terhadap negara dan masyarakat, sosok pemimpin yang dalam 10 tahun terakhir kepemimpinannya telah mempertontonkan kepada publik bahwa dalam meraih ambisinya beliau tidak akan ragu jika harus merusak sistem demokrasi, penegakan hukum dan pondasi negara ini, belum lagi tentang bagaimana beliau mempertontonkan menginjak martabat masyarakat miskin dengan terus membodohi menggunakan cara bagi2 bansos dan souvernir alih2 membekali masyarakat dengan ketrampilan hidup. Sosok yang mempertontonkan bagaimana beliau bisa menjilat air liurnya sendiri dan dengan mudahnya berpaling atas tindakan dan statementnya yang merugikan masyarakat, dan kasus2 lain yang masyarakat duga bahwa sosok ini adalah otak dibaliknya. teebukti statement""nya terkait investasi IKN di depan investor asing tidak mampu meyakinkan para investor asing untuk mempercayai Indonesia sebagai negara tujuan investasi. orang waras tentu akan menggunakan cara berpikir seperti saya.";bzJIZc170pE;True;0.0
@erwinrommel7911;2025-02-25T16:37:27Z;0;Pinter kalo 2030 bubar para B4J1N94N bisa punya prtofolio cadangan baik bentuk emas kripto atau dollar amerika;bzJIZc170pE;True;0.0
@isnantrirukha;2025-02-25T15:27:22Z;1;Dana Darurat, setiap Negara punya tidak boleh di keluarkan kecuali Negara sudah Hancur lebur;bzJIZc170pE;True;0.0
@qwerty-zj7nm;2025-02-25T13:31:41Z;0;Danantara lain nama celengan atw apk bwt pinjaman online itu kah pak ?;bzJIZc170pE;True;0.0
@youtopedia.;2025-02-25T10:37:22Z;0;"simpelnya ini tuh pengumpulan atau pengintegrasian duit, biar apa? 
yaaa.. biar gampang di kor.. eh";bzJIZc170pE;True;0.0
@NidaHalim;2025-02-25T08:51:42Z;0;"Kalo di lihat danantara ini ada perdamaan nya dengan 
Taspen 
Hanya nama yg berbeda 
Tapi tujuannya mungkin juga sama";bzJIZc170pE;True;2.0
@MaxPromone-fr9ml;2025-02-25T08:10:10Z;0;"Swf dg adopsi temasek dri singapore udh ada d jalur yg bner , efektif solutif revolusioner , smoga kdpn nya  , SWF  ini bs trs di ikuti dg MMT .. biar ga over investor,   di lahan2 basah yg byk cuan ny negara bs berdikari minim investor & mou dg negara2 lain .. jdi kelola  esdm , negara lain minim ikut cawe2 nyaa ... 

Tpi klo audit  ga smpe bpk & kpk ini SWF  ?? 
Ini yg bkin SWF jelek d mata publik , ga transparan ..  pake teknologi blockchain harus nyaaa biar transparan 👍";bzJIZc170pE;True;1.0
@kepoman7655;2025-02-25T07:29:50Z;0;"Mulai lagi dah.
Ada aja akal2an buat selap selip duit.
Alih2 rakyat lagi yg di pake😅.
Ampuuunn ampunnn,ide2 nya ada2 aja si.";bzJIZc170pE;True;0.0
@aldoirawan3329;2025-02-25T07:08:56Z;0;Yg belum tau, coba deh baca2 SWF nya malaysia, seperti temasek tapi versi korup nya 🗿;bzJIZc170pE;True;0.0
@DVideo78;2025-02-25T04:15:52Z;0;Kalo hebat tuh aset baru dari nol lah cuma aset lawas doang yg dikumpul in jadi satu aja kok blagu;bzJIZc170pE;True;0.0
@xternalunbonded7514;2025-02-25T03:14:14Z;1;"YTH. BAPAK PRABOWO, 
Dengan hormat,
CMIIW:
1. Mohon maaf, saya tidak percaya DANANTARA, karena sebagai superholding BUMN, DANANTARA berada di bawah kendali Bapak / pemerintah. DANANTARA berbeda dari superholding milik Singapura, yaitu: TEMASEK, sebab TEMASEK tidak di bawah kendali pemerintah supaya tidak terpengaruh politik.
2.  Mohon maaf, saya tidak percaya DANANTARA, karena sebagai superholding BUMN, DANANTARA diaudit hanya oleh akuntan publik (UU BUMN yang baru disahkan 4 Februari 2025 ini), sementara BPK hanya bisa mengaudit lewat PDTT (Pemeriksaan Dengan Tujuan Tertentu) melalui persetujuan DPR. Betul? Namun Bapak mengatakan bahwa DANANTARA bisa diaudit oleh SIAPAPUN dan KAPANPUN sebagai wujud transparansi dan akuntabilitas. Betulkah itu? Mana yang benar?
3. Mohon maaf, selama para koruptor tidak dimiskinkan, tidak ada perampasan aset / harta para koruptor, saya tidak percaya DANANTARA.
4. Mohon maaf, selama ada tebang pilih dalam penegakan hukum dan keadilan, saya tidak percaya DANANTARA.
5. Mohon maaf, selama Bapak tidak berani mengadili semua presiden dan semua wapres terdahulu yang terindikasi merugikan negara dan rakyat, saya tidak percaya DANANTARA. Padahal, tujuan pengadilan adalah untuk membuktikan apakah seorang tersangka itu benar-benar bersalah atau tidak. Kalau tidak diadili, bagaimana rakyat dan dunia mengetahui tanpa keraguan apakah seseorang itu benar-benar bersih atau bersalah dalam kasus yang dituduhkan kepadanya? Kalau Bapak tidak membuka ruang / kesempatan agar kepala-kepala negara terdahulu (dan wakilnya) diadili, maka, itu berarti, Bapak sendiri pun kelak tidak ingin diadili atas kesalahan apa pun yang mungkin saja terjadi selama masa kepemimpinan Bapak. Betul? Ataukah ada rahasia-rahasia Bapak yang diketahui oleh mereka yang seharusnya tidak boleh mereka mengetahuinya? Ataukah sebenarnya Bapak memang bekerja sama dengan mereka-mereka ini? Atau bahkan bekerja untuk mereka-mereka ini? Sebagai seorang PATRIOT yang tidak takut mati, semoga KESETIAAN Bapak hanya untuk rakyat. 
6. Apakah rakyat pada akhirnya, sekarang ini, diminta berjudi? Rakyat diminta percaya DANANTARA begitu saja, terima begitu saja, padahal, sudah terlalu banyak contoh kasus di masa-masa lalu yang jelas-jelas membuktikan bahwa pemerintah gagal dalam mengelola kegiatan / usaha / program dan keuangan dari lembaga-lembaga / institusi-institusi / perusahaan-perusahaan negara? Sudah banyak kasus yang merugikan negara / rakyat bila dibandingkan dengan cerita suksesnya, lalu Bapak mengharap rakyat percaya dan mendukung DANANTARA? Apa dasarnya, apa sejarahnya, apa track record (rekam jejaknya) yang bisa menjadi akal sehat dan pegangan rakyat untuk percaya bahwa pemerintah layak didukung untuk menerima tanggungjawab terbesar bernama DANANTARA? Kalau rakyat tidak berhitung dengan cermat, tidak mengukur resikonya, tidak benar-benar menyadari konsekuensi atas pilihan yang Bapak ambil ini, lalu rakyat diminta percaya begitu saja DANANTARA, itu sama saja dengan: BERJUDI !
7. Niat baik saja tidak cukup. PIntar saja tidak cukup. Tegas dan berani saja tidak cukup. Harus ada KEPERCAYAAN dan DUKUNGAN dari rakyat. Supaya ada KEPERCAYAAN dan DUKUNGAN yang penuh dari rakyat, maka, dari Bapak dituntut KESETIAAN dan KEJUJURAN kepada rakyat. Semua ini disampaikan kepada Bapak, tidak lain agar tujuan negara Indonesia berdasarkan alinea keempat dalam Pembukaan UUD 1945 dapat benar-benar tercapai, yaitu:
Melindungi segenap bangsa Indonesia dan seluruh tumpah darah Indonesia.
Memajukan kesejahteraan umum.
Mencerdaskan kehidupan bangsa.
Ikut melaksanakan ketertiban dunia yang berdasarkan kemerdekaan, perdamaian abadi, dan keadilan sosial.
8. TERIMA KASIH. Teriring salam dan hormat kami sebagai rakyat yang sedang berusaha untuk mempercayai dan mendukung program-program Bapak.";bzJIZc170pE;True;0.0
@chandrairawan5684;2025-02-25T02:46:05Z;0;Mestinya benahi dulu APH secara radikal, biar kepercayaan publik dan asing meningkat. Setelah dibenahi, barulah bentuk Danantara dll;bzJIZc170pE;True;1.0
@Urang_Kalimantan;2025-02-25T00:51:50Z;1;Lahan hijau parak koruptor😊;bzJIZc170pE;True;0.0
@Evilium0;2025-02-25T00:30:40Z;0;indonesia krisis ni komentar youtube isinya judul mulu parah dah;bzJIZc170pE;True;0.0
@Alvaismy;2025-02-24T22:40:30Z;1;Hukuman Koruptor dibenerin dulu biar gak yang udah2;bzJIZc170pE;True;0.0
@adrenalincechannel2832;2025-02-24T17:25:17Z;1;Bakal suram indonesia...gelap gulitaa indonesia di ambang kehancuran ...krna slalu ada campur tngan DpR,Mpr yg tak berguna itu yg mnghabiskan bnyak anggaran stiap rapatNya...;bzJIZc170pE;True;0.0
@fenditobacco;2025-02-24T16:00:34Z;0;Gak ada reporter yang lebih berbobot kualitasnya apa ini narasi news room masa menyampaikan berita persis bocah anak smp suruh bikin konten kegiatan dirumah selama liburan badan gak bisa diem lenggok kanan kiri kursi digoyang2 mulu newbie masih grogi 😂👎🏻;bzJIZc170pE;True;0.0
@MbahMu9829;2025-02-24T14:46:13Z;0;Kalau pengurusnya mantan koruptor emang masih ada harapan?;bzJIZc170pE;True;0.0
@msdr10;2025-02-24T14:19:19Z;0;Dah terserah boss aja;bzJIZc170pE;True;0.0
@abdulaziz1484;2025-02-24T13:51:25Z;0;emang semua kebijakan harus di atur ulang, agar prosesnya tidak berulang-ulang.;bzJIZc170pE;True;2.0
@aristondarmayuda1451;2025-02-24T13:02:02Z;0;bermanfaat jika dikelola dengan BENAR (garis bawahi). tapi dgn kondisi sekarang rasanya skeptis, pertama tidak ada peraturan yg memberatkan koruptor, penyitaan aset dan pembuktian terbalik (back tracing) tidak ada, jika koruptor terbukti yg disita hanya yg tangkap tangan saja, uang korupsi yg tersebar ke koleganya tidak akan bisa diambil kembali oleh negara. kedua, terlalu bebas, yuridiksi intitusi negara yg bertugas mengamankan uang negara hanya memiliki yuridiksi sebatas audit publik dan laporan penyelewengan, duit lenyap setahun dua tahun entah dimana kemungkinan besar tidak bisa kembali karena batas waktu yg lama (badan usaha milik publik, dari dana publik, tapi tata kelola private/swasta, planning macam apa ini?). ketiga, tidak memiliki prospektus, perusahaan atau badan usaha investasi macam apa ketika launching (ibaratnya IPO) tidak memiliki prospektus, mau di investasikan kemana uang milik publik tsb? alokasi portofolionya berapa? profil resiko investasinya berapa? website masih kosong cuma berisi tentang badan saja, manajemen investasi macam apa ini??? kenapa program pemerintah bak cerita dongeng Bandung Bondowoso dan 1000 candi, sistem kebut semalam, dan kita semua tahu apa yg terjadi dgn cerita Bandung Bondowoso.;bzJIZc170pE;True;0.0
@agusrene2788;2025-02-24T13:01:56Z;1;IG hostnya apa ya om ?;bzJIZc170pE;True;2.0
@jokowidodi4863;2025-02-24T12:53:13Z;0;LADANG KORUPSI REZIM OMON OMON 🤣;bzJIZc170pE;True;0.0
@bimamaarschal;2025-02-24T12:45:51Z;2;Yang ngejelasinnya males malesan bgt. Semangat mba;bzJIZc170pE;True;0.0
@uknown2031;2025-02-24T12:28:20Z;20;Kalo project ini gagal, PRABOWO & GIBRAN WAJIB DIBERHENTIKAN SECARA TIDAK HORMAT! DAN WAJIB MENJALANKAN HUKUMAN.. BESERTA PARA KLONI KLONINYA!;bzJIZc170pE;True;0.0
@GadoGoda;2025-02-24T12:00:52Z;0;Wauww kayaknya kedepan bakal ada saingan kasus dari yang sekarang 300T 😂 . Lembaga sunyi bayangan kebal audit telah hadir;bzJIZc170pE;True;0.0
@PremiumYt-r9n;2025-02-24T11:39:28Z;0;Lha itu fungsi bkpm apa ndak sama saja...dari pada buka lembaga baru...biaya lg😊;bzJIZc170pE;True;0.0
@GombongBersatu-p7o;2025-02-24T11:13:37Z;0;Kalo memang gak mau jual raw material mustinya ada kebijakan untuk investor membangun pengolahan raw material menjadi siap pakai. Minyak dan sumber daya alam lain harusnya punya kebijakan untuk membangun pengolahan SDA di dalam negri namun kenyataannya lain. Ini yang justru harus diperbaiki bukan pengelolaan dana oleh Badan yang kebal hukum dan tanpa pengawasan Badan Hukum;bzJIZc170pE;True;0.0
@GombongBersatu-p7o;2025-02-24T11:10:42Z;0;Kalo Danantara gagal yang harus paling bertanggung jawab adalah Prabowo. Dana yang dikelola harus akuntable dan transparan namun apabila sebaliknya maka bisa dipastikan memang disengaja dipergunakan untuk kepentingan tertentu.;bzJIZc170pE;True;0.0
@MorizzuP2w;2025-02-24T11:05:24Z;0;SKRANG PINDAHKAN UANG BANK KLIAN DARI PT BUMN BIAR TERJADI APA2 GK RUGI AMAT;bzJIZc170pE;True;0.0
@farkanchaliv7822;2025-02-24T10:50:33Z;20;Lahan basah dan benih2 para koruptor, 1000% Valid A1 😅;bzJIZc170pE;True;0.0
@fy9283;2025-02-24T10:42:59Z;0;Pejabat kok hobbynya ngibulin rakyat mulu... Yaa rabb... Indonesia gelap amat ini mah...;bzJIZc170pE;True;0.0
@debriomuh.pradipta1652;2025-02-24T10:23:18Z;1;Rakyat di miskinkan, masih mau nyoblos buat mereka yg pingin semena-mena sama anda??;bzJIZc170pE;True;0.0
@lazirst;2025-02-24T10:23:05Z;1;Koq kayaknya Pemerintah ga kapok²nya, ada kasus Jiwasraya, Asabri, yang dananya di korupsi, udah itu didirikan Danantara yang sifatnya superholding, ini mrnhadi potensi salah urus dan ujung2 nya boncos lagi, kenapa ga BUMN itu yang ada diberdayakan saja dan menjadi perusahaan yang profit..;bzJIZc170pE;True;0.0
@EveMoneypenny-ni1yz;2025-02-24T10:14:15Z;0;Siap siap......;bzJIZc170pE;True;0.0
@Madpedo666;2025-02-24T10:11:19Z;10;ngurus nanam  singkong aja gak becus mau ngurus investasi jumbo.... mikir 😂😂😂;bzJIZc170pE;True;0.0
@AmiIsnadiIsnadi;2025-02-24T10:06:57Z;0;Pesimis aja kalo bukan untuk menciptakan lapangan kerja hadah kalo ceritanya begitu malah mengerikan.bakal buat nama investasi bodong atas nama tokoh2 elit.;bzJIZc170pE;True;0.0
@djudprob9968;2025-02-24T09:51:34Z;0;Mawas diri selalu;bzJIZc170pE;True;2.0
@gener4si_biru;2025-02-24T09:29:02Z;1;danantara dananya buat trading😁😁😁;bzJIZc170pE;True;0.0
@BelitungBangga;2025-02-24T09:06:06Z;0;Danantara digadang-gadang akan menjadi Temasek-nya Indonesia, serupa dengan perusahaan investasi global milik Singapura. Namun, skeptisisme muncul ketika perbandingan itu dialihkan ke 1Malaysia Development Berhad (1MDB), lembaga investasi Malaysia yang terjerat skandal korupsi besar. Perbedaan mendasar antara Temasek dan 1MDB terletak pada strategi pengelolaan dana: Temasek mengelola kelebihan dana pemerintah dan memaksimalkan imbal hasil, sedangkan 1MDB berburu investor dengan menggunakan aset sebagai jaminan utang.;bzJIZc170pE;True;0.0
@ferdyerwanda9400;2025-02-24T08:54:35Z;0;Mantap bisnis ini...;bzJIZc170pE;True;0.0
@arisman_4010;2025-02-24T08:45:07Z;1;Klo smpe bangkrut tunggu aja. PRABOWO yg bakal menanggung dosanya kalau smpe masyarakat Indonesia krisis aplg smpe bkin orang kelaparan.;bzJIZc170pE;True;0.0
@MrDr-q9v;2025-02-24T08:38:49Z;1;Yang penting mampu dan mau membuat seluruh rakyat Indonesia sejahtera, negara Indonesia makmur, dan bangsa Indonesia maju. We❤🇮🇩;bzJIZc170pE;True;1.0
@adiirawan2924;2025-02-24T08:20:43Z;0;Filing gw danantara utk IKN;bzJIZc170pE;True;0.0
@RamdanHardianto;2025-02-24T07:56:51Z;2;Niru temasek tapi orang-orangya ya ga sama, mereka memiliki integrasi yang tinggi dan jauh dari penyelewengan..lah kita ada jaminan ga tidak akan diselewengka?? Belajar dari kasus jiwasraya, dana haji dll.....Kalau yakin bakal bersih berarti harus diaudit kontinyu oleh lembaga independen.;bzJIZc170pE;True;0.0
@JorgonBodoh;2025-02-24T07:50:09Z;1;INdonesia asli tambah gelap utang pasti nambah gila-gilaan. danantara ngga punya duit paling ngutang lagi dan assset bumn di danantara jadi jaminannya. ancur indonesia;bzJIZc170pE;True;0.0
@winwin1M;2025-02-24T07:49:50Z;1;gua jamin rungkad kawan percayalah  🗿;bzJIZc170pE;True;0.0
@dion952;2025-02-24T07:49:01Z;0;Mana nih yg oke ga oke gas no2 torang gas😂;bzJIZc170pE;True;0.0
@masirul966;2025-02-24T07:11:06Z;0;Makin kesana makin kesini ya;bzJIZc170pE;True;0.0
@alfianhafiizh9958;2025-02-24T07:05:02Z;0;"Videonya berasal dari masa depan (Diproduksi 25 Februari 2025).
Saya komentar di tanggal 24 Februari 2025, tepat di hari Danantara diresmikan.

Tapi terlepas dari apapun itu...
Semoga Danantara bisa amanah..";bzJIZc170pE;True;1.0
@PABLOescobar12361;2025-02-24T07:01:26Z;1;Lahan korupsi baru nih;bzJIZc170pE;True;0.0
@topglobal6675;2025-02-24T06:58:27Z;18;Tombol menyesal pilih Prabowo 👇;bzJIZc170pE;True;0.0
